iter	RMSE
0	0.6609812346
1	0.6425176185
2	0.6258645876
3	0.6088000589
4	0.5910945986
5	0.5760474754
6	0.5599324035
7	0.5443610356
8	0.5290747558
9	0.5137442211
10	0.5003324012
11	0.4875819225
12	0.4750690538
13	0.4622625264
14	0.450720906
15	0.4396006416
16	0.4282005634
17	0.4167719189
18	0.405857093
19	0.3951993833
20	0.3844031792
21	0.3750149413
22	0.3662256466
23	0.3565382897
24	0.3480557165
25	0.3397602592
26	0.3322761711
27	0.3252954231
28	0.3185664502
29	0.3112012493
30	0.3043198978
31	0.2975160105
32	0.2916904641
33	0.2857650608
34	0.2802572544
35	0.274320022
36	0.2686441184
37	0.2624671401
38	0.2571389768
39	0.2515046665
40	0.2464096105
41	0.2409755642
42	0.2364961376
43	0.2320331431
44	0.2275564237
45	0.2236321028
46	0.2191245278
47	0.2154300867
48	0.2112009809
49	0.2076912344
50	0.2037129028
51	0.2006827553
52	0.1967816511
53	0.1937988314
54	0.1904997579
55	0.1873263726
56	0.1848606041
57	0.1810913447
58	0.1785270554
59	0.1759881886
60	0.1729947513
61	0.1701490675
62	0.1675673082
63	0.1647301123
64	0.1620477237
65	0.1595281781
66	0.1569750734
67	0.1547382916
68	0.1527813988
69	0.1508741975
70	0.1486304813
71	0.146429897
72	0.1449443079
73	0.1431343215
74	0.1411739462
75	0.1397238698
76	0.1387214146
77	0.1367673279
78	0.1351429243
79	0.1337527371
80	0.1324461125
81	0.1308807062
82	0.1295575245
83	0.1281075839
84	0.1268814383
85	0.1255525277
86	0.1243768879
87	0.1232423055
88	0.1222419255
89	0.1211900194
90	0.120122973
91	0.1190705827
92	0.1178660657
93	0.1170539242
94	0.1162197783
95	0.1152578224
96	0.1142304754
97	0.1133336728
98	0.1123061595
99	0.1115720187
100	0.1109224656
101	0.1099503013
102	0.1093329298
103	0.108778119
104	0.1080913731
105	0.1075692693
106	0.1068619416
107	0.1060696449
108	0.1056036358
109	0.1048891758
110	0.1043606412
111	0.1035233628
112	0.1029356988
113	0.1024595576
114	0.1018022868
115	0.1011318286
116	0.1006094551
117	0.1001283008
118	0.09968711547
119	0.09912437365
120	0.09872164429
121	0.09802054819
122	0.09748861247
123	0.09686829466
124	0.09636916316
125	0.09577380115
126	0.0953896128
127	0.09490742839
128	0.09450496595
129	0.09418377585
130	0.09359284691
131	0.09327429596
132	0.09298758227
133	0.09274826878
134	0.0921660254
135	0.09187711796
136	0.09156063374
137	0.09133322107
138	0.09089582475
139	0.09046334466
140	0.09017885869
141	0.08974023466
142	0.08945134375
143	0.0892036256
144	0.08900356192
145	0.08864440607
146	0.08833317196
147	0.08808962781
148	0.08771064508
149	0.08731671422
150	0.08696141322
151	0.08670985445
152	0.08654291675
153	0.08633126906
154	0.08608647405
155	0.08596612374
156	0.08574192282
157	0.08560064535
158	0.08542132284
159	0.08516228911
160	0.08491859017
161	0.0846882391
162	0.08454256702
163	0.08416209192
164	0.08394040135
165	0.08383643782
166	0.08365588219
167	0.08353022605
168	0.08321545341
169	0.08302430262
170	0.08286664634
171	0.08257205904
172	0.08247064964
173	0.08237898548
174	0.08232668939
175	0.08228632805
176	0.08208813812
177	0.0819900324
178	0.08178065021
179	0.08163681703
180	0.08156260313
181	0.08133387953
182	0.08107462848
183	0.08078802757
184	0.08057631625
185	0.0805296717
186	0.08032581801
187	0.08013761792
188	0.08000445902
189	0.07993072438
190	0.07967592297
191	0.07956935832
192	0.0794863619
193	0.07944624939
194	0.07935816876
195	0.07930494851
196	0.07924725452
197	0.07903063892
198	0.0789453326
199	0.07860098551
200	0.07849881497
201	0.07835677238
202	0.07826413473
203	0.0781466103
204	0.07792434999
205	0.07779817845
206	0.07772042257
207	0.07764556706
208	0.07747539838
209	0.07715222673
210	0.07708483752
211	0.07701426398
212	0.07684254846
213	0.07675941102
214	0.07667930988
215	0.07639355168
216	0.07632866798
217	0.07615238867
218	0.07607051006
219	0.07577045716
220	0.0756637143
221	0.0755939076
222	0.07536534279
223	0.07529212656
224	0.07521827143
225	0.07512804009
226	0.07503352937
227	0.07477321273
228	0.07470395783
229	0.07463924557
230	0.07442989479
231	0.07432181567
232	0.07426558575
233	0.07403126004
234	0.07390786342
235	0.07382192271
236	0.07374462373
237	0.0735835152
238	0.07337332935
239	0.07318547685
240	0.07311636053
241	0.07306209986
242	0.07298349503
243	0.07292753426
244	0.07287366441
245	0.07274195657
246	0.07253663678
247	0.07227745741
248	0.07221345039
249	0.07200638947
250	0.07192703399
251	0.0718690049
252	0.07178370426
253	0.07174433277
254	0.07152849231
255	0.07120369025
256	0.07101527666
257	0.07097590838
258	0.07090869709
259	0.07086700647
260	0.07081853911
261	0.07076904501
262	0.07056707543
263	0.07038535107
264	0.07021495867
265	0.06998410536
266	0.06994819358
267	0.0699219067
268	0.06973410577
269	0.06954507683
270	0.06951422366
271	0.06937811213
272	0.069179926
273	0.06909471515
274	0.06906304129
275	0.06900422162
276	0.06885997205
277	0.06878194577
278	0.06871377129
279	0.06867417024
280	0.0686425495
281	0.06860045456
282	0.06841670909
283	0.06822303381
284	0.06808180384
285	0.06805594522
286	0.0678774517
287	0.06782874555
288	0.06780137127
289	0.06769180177
290	0.06764131737
291	0.06737152947
292	0.06726851381
293	0.06724703148
294	0.06720650751
295	0.06697748239
296	0.06680764786
297	0.06677946553
298	0.06666424992
299	0.06649333767
300	0.06639403418
301	0.06619363274
302	0.06604171327
303	0.06601534605
304	0.0659779071
305	0.06580365846
306	0.06571027479
307	0.06550838029
308	0.06540029369
309	0.06537104239
310	0.06517161813
311	0.0649411606
312	0.06484291686
313	0.06480680685
314	0.06462259087
315	0.06452592799
316	0.06432286722
317	0.06425179166
318	0.06422237171
319	0.06409083584
320	0.0640618523
321	0.06397742582
322	0.06375861126
323	0.06357316569
324	0.06348964144
325	0.06339921368
326	0.06337582869
327	0.06334073992
328	0.06326769071
329	0.06322003606
330	0.06307131179
